Heartbeat,MACsrc,APPID,GOOSElength,gocbRef,Dif_St,Dif_Sq,num of data,data_Dec,I_CB1-66KV,I_CB2-66KV,I_CB3-66KV,I_TRSF1-W1,I_TRSF1-W2,I_CB-TRSF1,I_TRSF2-W1,I_TRSF2-W2,I_CB-TRSF2,I_CB2-22KV,I_FDR1,I_FDR4,Status_CB1-22KV,Status_CB3-22KV,Status_CB-FDR1,Status_CB-FDR4,Label
1.00033,99,4,143,1231,0,1,5,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
1.00053,32,2,148,1121,0,1,4,9,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
1.00042,23,1,148,1111,0,1,4,5,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
1.0003,11,3,153,1131,0,1,7,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
1.00014,99,4,143,1231,0,1,5,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
1.00044,32,2,148,1121,0,1,4,9,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
1.00043,23,1,148,1111,0,1,4,5,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
1.00045,11,3,153,1131,0,1,7,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
1.00043,99,4,143,1231,0,1,5,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
1.0005,32,2,148,1121,0,1,4,9,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
1.00076,23,1,148,1111,0,1,4,5,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
1.00026,11,3,153,1131,0,1,7,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
1.00068,99,4,143,1231,0,1,5,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
1.00027,32,2,148,1121,0,1,4,9,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
1.00035,23,1,148,1111,0,1,4,5,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
1.00044,11,3,153,1131,0,1,7,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
1.00047,99,4,143,1231,0,1,5,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
1.00047,32,2,148,1121,0,1,4,9,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
1.0005,23,1,148,1111,0,1,4,5,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
1.0004,11,3,153,1131,0,1,7,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
1.00014,99,4,143,1231,0,1,5,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
1.00443,32,2,148,1121,0,1,4,9,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
1.00123,23,1,148,1111,0,1,4,5,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
1.00021,11,3,153,1131,0,1,7,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
1.00034,99,4,143,1231,0,1,5,0,17,0,17,17,30,52,17,30,52,0,26,26,1,1,1,1,0
